"","date","player_name","played_game","at_bats","hits","runs_batted_in","homeruns","stolen_bases","special_hitting","innings_pitched","hits_allowed","runs_allowed","strikeouts","big_plays","special_pitching","Hitting.Handedness","Pitching.Handedness","player_type","captain","special_use_rate","batting_average","era","so9","hip","cum_at_bats","cum_hits","running_avg","cum_runs_allowed","cum_innings","running_era"
"44",2020-01-19,"Yoshi","1",4,1,0,0,0,0,0,0,0,0,0,2,0,0,"Speed","1",0.131578947368421,0.345864661654135,5.38922155688623,0,2.39520958083832,7,3,0.428571428571429,0,0,0
"45",2020-01-19,"DK","1",3,0,0,0,0,1,0,0,0,0,0,0,0,0,"Power","1",0.1003861003861,0.409266409266409,7.2,5.4,1.76,7,2,0.285714285714286,0,0,0
"46",2020-01-19,"Hammer/Etc. Bro","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0,0.380281690140845,13.5,0,2,4,1,0.25,0,0,0
"47",2020-01-19,"King Boo","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.0149253731343284,0.208955223880597,0,0,0,4,1,0.25,0,0,0
"48",2020-01-19,"Mumbo","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0,0.247863247863248,68.1818181818182,13.6363636363636,12.1212121212121,0,0,0,0,0,0
"49",2020-01-19,"Noki","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0.0649350649350649,0.233766233766234,4.5,2.25,2.5,0,0,0,0,0,0
"50",2020-01-19,"Peach","1",4,0,0,0,0,2,0,0,0,0,0,0,0,0,"Technique","1",0.0985915492957746,0.253521126760563,6.7524115755627,7.23472668810289,1.39335476956056,8,0,0,0,0,0
"51",2020-01-19,"Shy Guy","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.170731707317073,13.4831460674157,6.74157303370787,2.99625468164794,0,0,0,0,0,0
"52",2020-01-19,"Toad","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Balance","0",0,0.391447368421053,4.62724935732648,6.94087403598972,1.45672664952871,5,0,0,0,0,0
"53",2020-01-19,"Wario","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","1",0.0909090909090909,0.181818181818182,0,0,0,0,0,0,0,0,0
"54",2020-01-19,"Monty","1",4,1,1,1,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.193548387096774,0,0,0,4,1,0.25,0,0,0
"55",2020-01-19,"Baby Bowser","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","1",0.0588235294117647,0.147058823529412,4.90463215258856,12.2615803814714,1.90735694822888,0,0,0,0,0,0
"56",2020-01-19,"Baby Luigi","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0.0588235294117647,0.176470588235294,3.37801608579089,5.30831099195711,1.09919571045576,0,0,0,0,0,0
"57",2020-01-19,"Baby Mario","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.275862068965517,0,0,0,0,0,0,0,0,0
"58",2020-01-19,"Diddy Kong","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","1",0.105263157894737,0.0526315789473684,2.54416961130742,6.04240282685512,0.777385159010601,0,0,0,0,0,0
"59",2020-01-19,"Flying Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0,0,0,0,0,0,0,0,0,0
"60",2020-01-19,"Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.315789473684211,0,0,0,0,0,0,0,0,0
"61",2020-01-19,"Toadette","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.210526315789474,0,0,0,0,0,0,0,0,0
"62",2020-01-19,"Waluigi","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","1",0.19047619047619,0.333333333333333,4.75027572081298,7.58626122577596,1.44950370253663,0,0,0,0,0,0
"63",2020-10-10,"Koopa","1",5,2,1,0,0,0,9,14,7,6,0,0,0,0,"Balance","0",0.0101010101010101,0.313131313131313,3.20738137082601,7.95254833040422,1.23999218902558,14,6,0.428571428571429,15,26,5.19230769230769
"64",2020-10-10,"Boo","1",5,4,0,0,0,0,1.33,7,2,2,0,0,0,0,"Technique","0",0,0.343333333333333,4.38813843817441,7.81712093357845,1.40676204939653,12,8,0.666666666666667,7,19.33,3.25918261769271
"65",2020-10-10,"Waluigi","1",5,3,0,0,0,0,7.33,7,1,6,0,1,0,0,"Technique","0",0.19047619047619,0.333333333333333,4.75027572081298,7.58626122577596,1.44950370253663,5,3,0.6,1,7.33,1.22783083219645
"66",2020-10-10,"Flying Koopa","1",5,1,0,0,0,0,1,2,0,0,0,0,0,0,"Technique","0",0.0069204152249135,0.325259515570934,4.12968665096903,7.11827567469661,1.42486264565598,13,3,0.230769230769231,0,1,0
"67",2020-10-10,"Grandpapa Toad","1",5,4,0,0,0,0,0,0,0,0,1,0,0,0,"Technique","0",0,0.438311688311688,0,0,3.03030303030303,13,8,0.615384615384615,0,0,0
"68",2020-10-10,"Birdo","1",5,3,2,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0.26,0.343333333333333,21.6867469879518,5.42168674698795,2.40963855421687,13,6,0.461538461538462,0,0,0
"69",2020-10-10,"Petey","1",4,2,2,1,0,0,0,0,0,0,1,0,0,0,"Power","0",0,0.295138888888889,0,0,0,12,4,0.333333333333333,0,0,0
"70",2020-10-10,"Hammer/Etc. Bro","1",5,2,1,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0,0.380281690140845,13.5,0,2,9,3,0.333333333333333,0,0,0
"71",2020-10-10,"Peach","1",5,2,1,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.0985915492957746,0.253521126760563,6.7524115755627,7.23472668810289,1.39335476956056,13,2,0.153846153846154,0,0,0
"72",2020-10-10,"Toad","1",4,2,0,0,0,0,0,0,0,0,1,0,0,0,"Balance","0",0,0.391447368421053,4.62724935732648,6.94087403598972,1.45672664952871,9,2,0.222222222222222,0,0,0
"73",2020-10-10,"Bowser","1",5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.034965034965035,0.332167832167832,13.5542168674699,10.8433734939759,2.10843373493976,12,4,0.333333333333333,0,0,0
"74",2020-10-10,"Daisy","1",3,1,0,0,0,1,0,0,0,0,0,0,0,0,"Balance","0",0.151515151515152,0.34469696969697,4.67012601927354,11.3417346182357,1.70496664195701,10,4,0.4,0,0,0
"75",2020-10-10,"Luigi","1",5,1,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0.0428571428571429,0.335714285714286,0,0,0,13,2,0.153846153846154,0,0,0
"76",2020-10-10,"Mumbo","1",5,1,1,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0,0.247863247863248,68.1818181818182,13.6363636363636,12.1212121212121,5,1,0.2,0,0,0
"77",2020-10-10,"Yoshi","1",4,1,0,0,0,1,0,0,0,0,2,0,0,0,"Speed","0",0.131578947368421,0.345864661654135,5.38922155688623,0,2.39520958083832,11,4,0.363636363636364,0,0,0
"78",2020-10-10,"Baby Bowser","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.0588235294117647,0.147058823529412,4.90463215258856,12.2615803814714,1.90735694822888,0,0,0,0,0,0
"79",2020-10-10,"Baby Luigi","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0.0588235294117647,0.176470588235294,3.37801608579089,5.30831099195711,1.09919571045576,0,0,0,0,0,0
"80",2020-10-10,"Baby Mario","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.275862068965517,0,0,0,0,0,0,0,0,0
"81",2020-10-10,"Diddy Kong","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0.105263157894737,0.0526315789473684,2.54416961130742,6.04240282685512,0.777385159010601,0,0,0,0,0,0
"82",2020-10-10,"DK","1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.1003861003861,0.409266409266409,7.2,5.4,1.76,11,2,0.181818181818182,0,0,0
"83",2020-10-10,"Drybones","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00649350649350649,0.285714285714286,0,0,0,6,1,0.166666666666667,0,0,0
"84",2020-10-10,"Flying Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0,0,0,0,0,0,0,0,0,0
"85",2020-10-10,"Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.315789473684211,0,0,0,0,0,0,0,0,0
"86",2020-10-10,"King Boo","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.0149253731343284,0.208955223880597,0,0,0,4,1,0.25,0,0,0
"87",2020-10-10,"Magikoopa","1",4,0,0,0,0,0,0,0,0,0,0,1,0,0,"Technique","0",0.00680272108843537,0.217687074829932,18,0,0,10,1,0.1,0,0,0
"88",2020-10-10,"Mario","1",4,0,2,0,0,1,0.33,0,0,1,0,3,0,0,"Balance","0",0.430034129692833,0.453924914675768,8.3017320897817,6.45690273649687,1.63984831403095,12,3,0.25,0,0.33,0
"89",2020-10-10,"Monty","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.193548387096774,0,0,0,4,1,0.25,0,0,0
